GS.WDT.2008183000000.BHE[115335, 117675]
GS.WDT.2008183000000.BHE[175800, 177930]
GS.WDT.2008183000000.BHE[2235175, 2237575]
GS.WDT.2008183000000.BHE[3581145, 3583725]
GS.WDT.2008183000000.BHE[6216355, 6218515]
GS.WDT.2008183000000.BHE[6961965, 6966135]
GS.WDT.2008183000000.BHE[7989255, 7993305]
SN.LUYA.2008191000000.BHN[2938835, 2942375]
SN.LUYA.2008191000000.BHN[3637170, 3639270]
SN.LUYA.2008191000000.BHN[4263725, 4268945]
SN.LUYA.2008191000000.BHN[4935790, 4937770]
SN.LUYA.2008191000000.BHN[6145200, 6147150]
SN.LUYA.2008191000000.BHN[6178715, 6180605]
SN.LUYA.2008191000000.BHN[6355760, 6358130]
GS.WXT.2008207000000.BHE[41115, 42885]
GS.WXT.2008207000000.BHE[290165, 297005]
GS.WXT.2008207000000.BHE[318390, 320460]
GS.WXT.2008207000000.BHE[320275, 321655]
GS.WXT.2008207000000.BHE[851540, 854180]
GS.WXT.2008207000000.BHE[889795, 891205]
GS.WXT.2008207000000.BHE[1018220, 1020650]
GS.WXT.2008207000000.BHE[1031920, 1034560]
GS.WXT.2008207000000.BHE[1250885, 1252655]
GS.WXT.2008207000000.BHE[1553950, 1556050]
GS.WXT.2008207000000.BHE[1738530, 1740660]
GS.WXT.2008207000000.BHE[1770005, 1771745]
GS.WXT.2008207000000.BHE[2006610, 2007870]
GS.WXT.2008207000000.BHE[2078125, 2079505]
GS.WXT.2008207000000.BHE[2262130, 2264290]
GS.WXT.2008207000000.BHE[2439650, 2441570]
GS.WXT.2008207000000.BHE[2969025, 2971005]
GS.WXT.2008207000000.BHE[2988585, 2991825]
GS.WXT.2008207000000.BHE[3204090, 3207120]
GS.WXT.2008207000000.BHE[3244390, 3246940]
GS.WXT.2008207000000.BHE[3257895, 3261285]
GS.WXT.2008207000000.BHE[3613680, 3615060]
GS.WXT.2008207000000.BHE[3666870, 3668100]
GS.WXT.2008207000000.BHE[3786520, 3789640]
GS.WXT.2008207000000.BHE[3820755, 3822405]
GS.WXT.2008207000000.BHE[3923615, 3925325]
GS.WXT.2008207000000.BHE[4105000, 4106410]
GS.WXT.2008207000000.BHE[4473915, 4475745]
GS.WXT.2008207000000.BHE[4804005, 4805895]
GS.WXT.2008207000000.BHE[4870575, 4872135]
GS.WXT.2008207000000.BHE[4917055, 4919695]
GS.WXT.2008207000000.BHE[6994265, 6996455]
GS.WXT.2008207000000.BHE[7454255, 7455785]
GS.WXT.2008207000000.BHE[8056850, 8062010]
GS.WXT.2008207000000.BHE[8131620, 8134920]
GS.WXT.2008207000000.BHE[8438345, 8440865]
GS.WDT.2008198000000.BHZ[42025, 43555]
GS.WDT.2008198000000.BHZ[215475, 219405]
GS.WDT.2008198000000.BHZ[2135155, 2136985]
GS.WDT.2008198000000.BHZ[5184010, 8639980]
GS.WXT.2008190000000.BHE[33650, 35600]
GS.WXT.2008190000000.BHE[188820, 192270]
GS.WXT.2008190000000.BHE[302690, 304460]
GS.WXT.2008190000000.BHE[602765, 605795]
GS.WXT.2008190000000.BHE[819505, 821185]
GS.WXT.2008190000000.BHE[933980, 936470]
GS.WXT.2008190000000.BHE[1425455, 1427975]
GS.WXT.2008190000000.BHE[1653815, 1655375]
GS.WXT.2008190000000.BHE[1797710, 1799750]
GS.WXT.2008190000000.BHE[1885120, 1887700]
GS.WXT.2008190000000.BHE[2291990, 2293760]
GS.WXT.2008190000000.BHE[2341285, 2343355]
GS.WXT.2008190000000.BHE[2801455, 2805145]
GS.WXT.2008190000000.BHE[2825320, 2827510]
GS.WXT.2008190000000.BHE[3232580, 3236510]
GS.WXT.2008190000000.BHE[3287495, 3290015]
GS.WXT.2008190000000.BHE[3667055, 3670985]
GS.WXT.2008190000000.BHE[3777130, 3780460]
GS.WXT.2008190000000.BHE[3791495, 3794015]
GS.WXT.2008190000000.BHE[3920250, 3923400]
GS.WXT.2008190000000.BHE[3962725, 3964375]
GS.WXT.2008190000000.BHE[4029335, 4032155]
GS.WXT.2008190000000.BHE[4044800, 4046390]
GS.WXT.2008190000000.BHE[4108040, 4110500]
GS.WXT.2008190000000.BHE[4244905, 4246975]
GS.WXT.2008190000000.BHE[4434980, 4437110]
GS.WXT.2008190000000.BHE[4873320, 4876830]
GS.WXT.2008190000000.BHE[5013910, 5016040]
GS.WXT.2008190000000.BHE[5837345, 5839235]
GS.WXT.2008190000000.BHE[6493375, 6495235]
GS.WXT.2008190000000.BHE[6563055, 6565875]
GS.WXT.2008190000000.BHE[7039245, 7041375]
GS.WXT.2008190000000.BHE[7116790, 7119010]
GS.WXT.2008190000000.BHE[7392575, 7394285]
GS.WXT.2008190000000.BHE[7457955, 7460055]
