GS.WDT.2008215000000.BHN|[]
GS.WDT.2008183000000.BHE|[[53290, 56440], [115725, 117675], [168240, 172340], [176155, 177930], [180000, 181075], [181125, 185075], [215000, 216075], [216125, 220050], [428910, 433410], [438510, 446410], [608290, 613315], [642905, 649855], [665105, 668180], [690610, 694060], [1160355, 1163505], [1225700, 1229575], [1355035, 1361910], [1393160, 1395685], [1515540, 1518465], [1642030, 1647380], [2033165, 2041565], [2119725, 2122825], [2235575, 2237575], [2300420, 2302420], [2448765, 2453565], [2472820, 2474820], [2668515, 2675615], [2934145, 2937720], [2958715, 2964615], [3354560, 3357260], [3581575, 3583725], [3814005, 3820205], [3879965, 3883890], [3922590, 3925465], [4157490, 4161965], [4724510, 4733610], [5913915, 5916865], [6075665, 6077540], [6125520, 6128620], [6161510, 6165335], [6216715, 6218515], [6501935, 6505610], [6530465, 6536215], [6579935, 6583010], [6649180, 6654405], [6767265, 6770015], [6962660, 6966135], [7106730, 7111705], [7151700, 7155600], [7191370, 7205545], [7395690, 7401390], [7496465, 7499440], [7555550, 7559500], [7786805, 7790530], [7989930, 7993305], [8307430, 8311105], [8324780, 8328255], [8505180, 8509405]]
SN.LUYA.2008215000000.BHE|[[310340, 319440], [662380, 665280], [700570, 709920], [763830, 772405], [799110, 803035], [887175, 889550], [1311690, 1317790], [1342715, 1347040], [1477550, 1481750], [1582565, 1588490], [1730145, 1735245], [1845600, 1849350], [1941380, 1944480], [1968395, 1971045], [2118455, 2125005], [2359195, 2362770], [2477275, 2485250], [2511695, 2521895], [2539065, 2543365], [2549975, 2554525], [2572285, 2579085], [2716545, 2724145], [2825795, 2831245], [3196360, 3200310], [3386820, 3393095], [3418315, 3422615], [3756330, 3763430], [4248825, 4256750], [4304435, 4312635], [4437460, 4442160], [4451840, 4462940], [4531730, 4536280], [4575545, 4578320], [4655075, 4660350], [4836165, 4855265], [4897890, 4900215]]
GS.WXT.2008215000000.BHZ|[[79665, 82340], [86385, 90135], [110250, 111525], [202120, 205520], [210000, 215075], [241515, 243515], [246000, 247050], [247100, 251100], [309350, 318000], [347725, 350375], [401470, 402895], [446570, 449070], [539190, 541490], [547105, 548655], [549675, 553000], [575170, 577795], [606765, 611415], [679650, 682825], [700380, 708580], [733405, 735280], [763620, 770620], [798495, 802295], [862240, 864815], [870065, 872840], [883500, 889550], [998310, 1000560], [1094390, 1096515], [1112435, 1115485], [1217315, 1220090], [1233510, 1237035], [1310045, 1319570], [1338520, 1344120], [1415940, 1418615], [1421380, 1424055], [1453610, 1455910], [1476210, 1483060], [1518270, 1521795], [1581265, 1586965], [1592175, 1595450], [1725345, 1731220], [1731250, 1733100], [1766355, 1767505], [1793305, 1796780], [1845240, 1848290], [1937755, 1942255], [2116780, 2123880], [2127325, 2128550], [2147240, 2149515], [2149550, 2151375], [2155640, 2157865], [2237200, 2239200], [2355960, 2358185], [2358785, 2361885], [2427290, 2430165], [2476735, 2483760], [2508640, 2519990], [2533605, 2537130], [2537775, 2542125], [2548465, 2553015], [2570635, 2576735], [2584815, 2587165], [2653385, 2655435], [2714780, 2723130], [2824685, 2830060], [2877295, 2880845], [2912055, 2914330], [3030335, 3033085], [3052100, 3054600], [3105750, 3107375], [3130405, 3132080], [3195425, 3203200], [3214905, 3217505], [3224100, 3226775], [3386265, 3391965], [3418040, 3421890], [3523600, 3525700], [3531255, 3536455], [3540495, 3544020], [3598635, 3599710], [3621525, 3625050], [3754655, 3762080], [3777645, 3779720], [3865840, 3868265], [3994100, 3996025], [4117865, 4120590], [4154480, 4155530], [4184895, 4186495], [4249235, 4255610], [4302790, 4311140], [4389715, 4391290], [4393975, 4394975], [4435810, 4440385], [4450880, 4461805], [4531280, 4534705], [4572440, 4576215], [4584200, 4586750], [4653640, 4658715], [4723085, 4724685], [4760530, 4763580], [4768965, 4772665], [4802500, 4803675], [4817900, 4821600], [4836220, 4851895], [4852710, 4853910], [4897400, 4914975], [4944655, 4947855], [4978770, 4983220], [5085020, 5087020], [5147570, 5149745], [5191880, 5197205], [5297145, 5300695], [5344850, 5348075], [5368560, 5369885], [5388465, 5389690], [5437185, 5441285], [5461230, 5464180], [5488530, 5490080]]
GS.WDT.2008215000000.BHZ|[]
GS.WDT.2008183000000.BHN|[[53375, 56125], [69970, 71470], [115660, 117685], [168150, 172300], [175945, 177720], [180000, 185050], [215000, 220075], [428890, 433440], [438490, 445840], [608170, 612820], [642925, 650200], [664825, 668525], [690540, 694015], [1160420, 1163745], [1225630, 1229680], [1354990, 1362290], [1393070, 1395795], [1515425, 1518975], [1642030, 1647880], [2033175, 2041550], [2070575, 2071850], [2119725, 2122725], [2234935, 2237660], [2300550, 2302000], [2448745, 2453820], [2472925, 2474700], [2610465, 2612015], [2668445, 2674995], [2934145, 2937545], [2958680, 2964455], [2976155, 2978330], [3354800, 3356925], [3813995, 3820120], [3879805, 3883730], [3923330, 3926980], [4157505, 4162780], [4724500, 4733475], [5838995, 5840645], [5914080, 5916930], [6075565, 6077390], [6125940, 6128415], [6161495, 6165795], [6501730, 6506030], [6530440, 6535990], [6579955, 6583155], [6649125, 6654750], [6768085, 6770110], [6962580, 6966505], [7106750, 7112350], [7151715, 7155065], [7191330, 7205105], [7395670, 7400970], [7496530, 7499205], [7555350, 7559600], [7786930, 7789980], [7989650, 7993450], [8308310, 8310810], [8324195, 8328395], [8505205, 8509830]]
SN.LUYA.2008215000000.BHN|[[310340, 320815], [575505, 578880], [609605, 613555], [662355, 665280], [700605, 710230], [763860, 771635], [799250, 803050], [887380, 889680], [1311670, 1318295], [1340420, 1348045], [1469300, 1470850], [1478135, 1482110], [1582575, 1588700], [1730290, 1734290], [1794795, 1798145], [1845610, 1849460], [1940900, 1944600], [1968385, 1971010], [2118435, 2125335], [2359155, 2363005], [2477255, 2485005], [2511390, 2521590], [2540415, 2543515], [2549930, 2554755], [2572235, 2578235], [2716555, 2725555], [2825800, 2831150], [3196345, 3200245], [3386835, 3393160], [3418295, 3422995], [3756355, 3763805], [4248830, 4256905], [4304460, 4313160], [4437455, 4442630], [4451845, 4463570], [4531705, 4536055], [4576060, 4578760], [4655135, 4660360], [4836165, 4854290], [4897870, 4900220]]
SN.LUYA.2008183000000.BHE|[[53675, 58300], [168870, 173620], [429045, 434370], [439100, 448175], [608400, 613650], [642835, 652335], [665315, 670215], [690675, 695900], [1160940, 1166965], [1226090, 1232615], [1355550, 1364300], [1394145, 1397370], [1516015, 1520790], [1642710, 1649035], [2033835, 2043260], [2120295, 2124895], [2235285, 2239710], [2449280, 2455430], [2669275, 2676625], [2934050, 2939175], [2959225, 2967125], [2974895, 2978520], [3340250, 3343200], [3354890, 3359165], [3581450, 3585350], [3814530, 3821505], [3880605, 3886130], [3922740, 3929190], [4157615, 4164190], [4725100, 4735725], [5207960, 5208985], [5426345, 5429770], [5914780, 5919380], [6075720, 6079745], [6125760, 6131535], [6162015, 6167340], [6216420, 6220095], [6501935, 6506935], [6531250, 6537975], [6580475, 6585300], [6650005, 6656855], [6962730, 6969080], [7107615, 7114615], [7152505, 7157405], [7191955, 7206130], [7396145, 7402670], [7496525, 7501125], [7787165, 7792590], [7988075, 7995600], [8308035, 8312535], [8324955, 8330730], [8505535, 8511910], [8552765, 8557265]]
GS.WDT.2008183000000.BHZ|[[53220, 56595], [168160, 171835], [180000, 181050], [181080, 184980], [215000, 216050], [216080, 219955], [428830, 433705], [438490, 445790], [608175, 611500], [611550, 612675], [642905, 649155], [664815, 668115], [690435, 694010], [1160155, 1164205], [1225610, 1229785], [1354960, 1361460], [1393295, 1394945], [1515400, 1518650], [1641965, 1645940], [2033140, 2041390], [2119700, 2122725], [2448700, 2453800], [2668435, 2674185], [2934145, 2937595], [2958680, 2964230], [3354430, 3357205], [3813995, 3820170], [3879670, 3883920], [3922465, 3926340], [4157470, 4161695], [4724475, 4732850], [5913920, 5917145], [6075430, 6077355], [6125355, 6128355], [6161455, 6165205], [6501670, 6504920], [6530365, 6535565], [6579910, 6583085], [6649130, 6654205], [7106670, 7111095], [7151695, 7155245], [7191305, 7203605], [7395590, 7400415], [7555220, 7558345], [7786685, 7789885], [8306535, 8310260], [8324135, 8327760], [8505140, 8509665]]
GS.WXT.2008183000000.BHE|[[52870, 57720], [68715, 73040], [74255, 75355], [75405, 76755], [106545, 109920], [114515, 118590], [167335, 173110], [174175, 177975], [210000, 215250], [227700, 229375], [245975, 251125], [262140, 263640], [307555, 309405], [323455, 324480], [328715, 329740], [330740, 334115], [334155, 335530], [335580, 336555], [348420, 350070], [382195, 383195], [387445, 388695], [407835, 409035], [411065, 412590], [425190, 427565], [428620, 434895], [437625, 447550], [505340, 507040], [517295, 518445], [577090, 578240], [607760, 613260], [642780, 652105], [664485, 668910], [690075, 695650], [721090, 723665], [749130, 750180], [852715, 853890], [854930, 856280], [916765, 918390], [960770, 961920], [993505, 994730], [1068835, 1071785], [1084375, 1085725], [1143445, 1145195], [1147885, 1149110], [1151070, 1153370], [1159215, 1165940], [1173365, 1174440], [1175175, 1176225], [1183235, 1184485], [1225035, 1231860], [1231890, 1233340], [1290495, 1292545], [1304255, 1305255], [1323795, 1325220], [1341640, 1342840], [1350280, 1352405], [1354095, 1363445], [1363475, 1366775], [1370175, 1372975], [1389420, 1394870], [1418345, 1421670], [1514835, 1519410], [1527730, 1529155], [1623425, 1626475], [1641280, 1649130], [1670605, 1673605], [1782125, 1783800], [1820245, 1822295], [1915250, 1919250], [1988635, 1989785], [2032270, 2042270], [2119075, 2123375], [2234055, 2238705], [2298740, 2303265], [2358245, 2359495], [2448210, 2453910], [2470575, 2474750], [2490845, 2493295], [2562210, 2563260], [2565945, 2567870], [2608245, 2611745], [2667665, 2676215], [2717380, 2719305], [2729240, 2730390], [2737995, 2740495], [2792685, 2794835], [2849205, 2850355], [2873125, 2874150], [2906490, 2907590], [2934120, 2938945], [2958190, 2964090], [2974555, 2978030], [2998735, 3001110], [3048385, 3049860], [3245145, 3248845], [3285695, 3287095], [3320495, 3322320], [3339030, 3342280], [3354055, 3358055], [3566685, 3568310], [3580650, 3584600], [3587475, 3590625], [3764640, 3765990], [3805210, 3806460], [3813670, 3820945], [3826710, 3830585], [3878830, 3884430], [3898105, 3901505], [3919870, 3926795], [3962875, 3965300], [3979855, 3981655], [3995930, 3998355], [4016360, 4017785], [4034150, 4037225], [4037270, 4038745], [4062775, 4065500], [4093035, 4095385], [4157345, 4163320], [4170820, 4172495], [4173085, 4175035], [4192795, 4194770], [4455260, 4457460], [4519550, 4521475], [4633945, 4636745], [4667225, 4668975], [4700010, 4701310], [4723840, 4725015], [5836985, 5840510], [5868500, 5870250], [5913280, 5918755], [5992565, 5995790], [6010845, 6012695], [6072675, 6077650], [6080945, 6084145], [6117910, 6120560], [6125190, 6128890], [6128935, 6133235], [6148710, 6151560], [6160785, 6165360], [6215370, 6219295], [6238710, 6239810], [6261770, 6263045], [6323840, 6325040], [6367545, 6369070], [6375365, 6377915], [6501390, 6506740], [6529550, 6536625], [6554675, 6556850], [6579350, 6583400], [6583495, 6586595], [6648230, 6655030], [6681235, 6683260], [6766995, 6770120], [6813350, 6814450], [6955805, 6966130], [7079195, 7081245], [7105835, 7112785], [7150895, 7156195], [7190635, 7202785], [7202830, 7205130], [7379325, 7380725], [7395045, 7401845], [7465595, 7467095], [7478485, 7481535], [7491685, 7493410], [7496275, 7499800], [7504710, 7506210], [7554570, 7559320], [7564195, 7565620], [7577425, 7580225], [7629260, 7631110], [7643805, 7645030], [7786310, 7790960], [7821890, 7823265], [7840125, 7842725], [7903950, 7905525], [7986260, 7993685], [7993725, 7995400], [8084160, 8085710], [8196400, 8197450], [8220125, 8221275], [8305625, 8311325], [8323320, 8328670], [8451785, 8453760], [8504845, 8509845], [8548515, 8554315]]
SN.LUYA.2008215000000.BHZ|[[310360, 319035], [662355, 664930], [700580, 709655], [763850, 770725], [799120, 802345], [1311700, 1315925], [1340415, 1347015], [1582565, 1588315], [1845550, 1848575], [1968400, 1970950], [2118405, 2124805], [2477115, 2484140], [2510345, 2521220], [2572230, 2578130], [2716530, 2724405], [2825720, 2830520], [3386845, 3392720], [3418275, 3422000], [3756330, 3763155], [4248825, 4256150], [4304420, 4311195], [4439495, 4442195], [4451855, 4462905], [4531705, 4535305], [4655140, 4658990], [4836165, 4853465], [4897890, 4900215]]
